tweet;durum
turkcell haydi gel paketi.. enfes..;1
Photo: ”Dünyaya liderlik eden operatörler”den biri Türk Turkcell Superonline fiber internette dünya lideri...;1
turkcell 3 tl hediye etse bana ne güzel olur =);1
turkcell yedekleme yi kullanmak daha pratik olabilir;1
fiyat basl peki cokmu azmi. Alablrzz uygunsaa;1
Bugün Turkcell tarafından çekilişe katıldığım için tebrik aldım. O zaman anladım ki benim için küçük insanlık, için büyük bir adım atmışım.;1
ufunett bastıı yine..keşkee turkcell olsann..Tarifeni değiştirsene sen yaa..=);1
onu geçen hafta bende yapıyordu bu superonline. Şu an rahat girebiliyorum ama O_o;1
Bu arada farkettim de hepsi Turkcell Kullanıyor:);1
hahaha turkcell beni seviyo :);1
Dun gecedn beri turkcell mustri hzmetlerndeki kadinla ask yasiyrz sonunda oldu oh be:));1
#Mutluyum #Mutlusun #Mutluyuz ... Hayat paylaşınca güzel lalalalaaaa :);1
#2012hayallerimin ilk sırasında aylardır söyleyip durduğum gibi numaramı Turkcell'e taşımak var. Hayal olarak kalmasın ama. Nioğğlur.;1
Turkcell'in 3G hızı ABD'de deki 4G'den daha hızlı :);1
Bu turkcell müzik muhabbetini sevdim :);1
Mahalleden SuperOnline geçse iyiymiş.;1
"özturkcell e geciş yap ;) :)))";1
Bu Turkcell cok iyi lan.Durduk yere mesaj atıyor, kampanyalarıyla mutlu ediyor falan.Sevgilim gorup kıskanır umarım.;1
Hayatın beleşçilik git Turkcell'den al.;1
turkcell 4 çekiyo yavruş :O;1
selam yeniden haxball. canını yiyeyim turkcell superonline.;1
"Ben subtta iphne alcm ""trkcel"" :)";1
"Turkcell Gold/Platinum kullanıcısı isen %50 indirim hakkı.. Mart'a kadar 3 kez kullanma hakkın var ;)";1
Sayın Süreyya Ciliv'e Türkiye'ye Değer Katanlar Ödülü takdim ediliyor.;1
teşekkürler Turkcell;1
heryone degilim ki sadece turkcell o yuzden;1
en iyisi ben yarın turkcell e gidiyim =);1
"Turkcell'deyim şimdi. Karşılaşırız bi'yerlerde ;)";1
Teşekkür ederim. Turkcell üzerinden internete bağlanırken sorun yaşadm da anlam veremedim.. Ama geçti.. Teşekkürlerr..;1
#osesturkiye de turkcell sponsorlugunun dibine vurulmus .. Gormeyen kalmadi o sunucudan buyuk gnctrkcll yazisini;1
Hayat paylaşınca güzel...la la la...;1
yeni yıl reklamı bir harika !!;1
Bos  1 numara !;1
#3kelimeyle2011 Gelecek Güzel Gelecek;1
sadece quiknet mi var wınnımda var 64 k lik micro sim imde var i pad turkcell 4 çeker:);1
Yarin kendime turksel hat sey aldircaem, onu veririm sana;1
Reklamı bana   reklamlarını çağrıştırdı. Bu çağrışımı yaratan Turkcellse başarılı olan da haliyle o! Değil mi?;1
hahaha asil sen koruosn :) yok ben reklama taktim insana avea'yi degil direk turkcell'i dusunduruyo;1
Yarında Perşembeeee..oohhhhh çok şükür.. [gnctrkcll];1
"is uretemedikleri ortada.. "" Avea'yla Vodafone her yerde çekiyor mu bilemem ama ikisinin de Turkcell'i hala çekemediği net.""";1
iyiki varsınız    siz olmasanız mesaj da geleceği yok,telefon özelliğini unutacak nerdeyse. O kadar ki yalnızım:);1
iyi ki iPad 2'yi turkcell'den almışım. cam gibi lig tv her yerde :) teşekkürler;1
hayat paylaşınca güzel lalalalalalalalalal :D;1
kesinlikle superonline;1
eğer oturduğunuz bolgede varsa superonline fiber net geçmelisiniz.;1
turkcell bana komısyon baglamalı bence artık kacıncı musterısını kazandırdım :DD;1
Bu yila kadarki en iyi yilbasi reklam sarkisi turkcell'in 'bu sene yeni bir cebin olsun calain arayan hep o olsun...' ile baslayandir!;1
Coco Cola,Turkcell,Vestel reklamda onculer ...;1
#turkcellmuzik Bengü Hiç bitmesinn bu   seni çok seviyorummm türkcell çok teşkkürler bize böyle bir anı yaşattıgın için;1
Kendimi turkcell in yeni yıl şarkısını söylemekten alikoyamiyorum.;1
Oha turksel bana çalışıyo resmen 487 dakika bedava vermiş :O;1
#vodafone icin Buyuk eksiklik. Apple urunlerinde kullanilmak uzere #turkcell online islem gibi bir app yapmadilar, yapamadilar.;1
sayın   sağ olsun beni aradığınızı belirtti ama mesajla. İyi seneler diler sağlık,mutluluk ve bol kazançlı bir yıl dilerim.;1
Bahçeşehir Üniversitesi'nden Süreyya Ciliv'e özel ödül;1
"2012'ye kadar sms hakkinizi kullanabilirsin diyen sevgili turkcell ""allah razii olsun, sen olmasan napardim"" demek istedim.";1
turkcell veya avea varsa alabilirim -,-;1
""" Bahçeşehir Univ Tesekkurler.. Türkiye ye Deger Katanlar Ödülü Turkcell CEO Sureyya Ciliv'e..""";1
İzmir Arena inanilmazdin..Tum Turkcell ekibine sonsuz tesekkurler:);1
başka ne olacaktı sanki :) ben turkcell'in yerinde olsam seni dakikası 5-10 liraya konuştururum bu saatten sonra :);1
Murat Erkan: ''Turkcell Superonline olarak misyonumuz operatörlerin operatörü olmak.'';1
Kamil koç un Turkcell kornası güzel olmuş :);1
yeni yıl kutlama msg'ını aldım. Teşekkürler.. Hayat paylaşınca güzel lala la la laaa;1
bugün perşembe turkcell sinema günleri ....;1
Bu akşam sinemada Sherlock'ta kullanmak için bi gnctrkcll şifresi lazım gençler. Bi el atıverin hadi.;1
askim nasil yollicaksin banaaa ? :D ben kendime yeni hat alirim turkcell daha iyi daha kolay;1
sagolasin el öpenlerin cok olsun mesaj hakkın Turkcell den Beles gelsin :D;1
onu beğendik de bide ,twitter paketi bekliyoruz Turkcell den...sınırsız twit;1
iki hafta gene iyi benimki bir iki ayda gelmişti.turkcell sağolsun:D;1
off ali ya sbh sbh ne güldürdün :D art ık facebooktanda Turkcell ile ilişkisi war yaparsın sen :D;1
"""çekemeyen anten taksın"" diye sticker dağıtmış, ben de yaptırcam özel olarak :)";1
"opuldun bebegim ;) Tebrikler! Size ozel 1 ay boyunca yurtici heryone 100 dakika ve 300 SMS kazandiniz. Gule gule kullanin!";1
Divane Asik Gibi Blog Turkcell Blog odullerinde son 10`a kalmis. Destek veren herkese tesekkurler...;1
Aynen Kanka Turkcell Iyı Ya;1
Sen vodafone gibi ani yasarken ben turkcell gibi her yerde seni cekemem.;1
Tüm müzik ihtiyaçlarınızın (Dinleme, indirme, keşfetme vb.) Turkcell kalitesiyle tek bir uygulamada toplanmış olması fena mı? :);1
Özturkcell reklamı fena komedi;1
tweetlerini sabahtan beri toplayamadığım odamdan takip ediyorum ve diyorum ki hayat 140 karakteri paylaşınca güzel.;1
#pazarlamakonferansi turkcell akademinin duzenledigi konferansin baslamasini bekliyoruz;1
Ben zaten turkcell için baktım. turkcell'den vazgeçmem her türlü kaliteli bir ara vodafone kullandım ikinci hat yok asla..;1
ev telefonunuzu superonline'a devredin..;1
Bu Turkcell çok iyi lan.Durduk yere mesaj atıyor, kampanyalarıyla mutlu ediyor falan.Sevgilim görüp kıskanır umarım.;1
Kendisi de bunu açıklamıştı Turkcell Teknoloji Zirvesinde.. Bizde terlikle bile işe gelirler demişti. Önemli olan mutluluğu.;1
kafama takilan bir konu gsm operatorlerinin mobil site destegi ve uygulamalarinin olmamasi. turkcell istisna tabi;1
hayat paylaşınca güzel :);1
dogum gunu pastasi icin tesekkurler. Simartiyosun beni :);1
KAMİL KOÇ'TAN ÖZEL TURKCELL KAMPANYASI;1
Sabah sabah kendimi koridorda''TURKCELL BENI SESIMDEN TANIR'' diye bagirken buldum.Bir internet paketi icin insan neler yapiyo;1
*HAYAT PAYLAŞINCA GÜZEL!!!;1
Sabah 7.30dan itibaren tekrar Turkcell'm bilginizee :);1
turkcell e gel;1
Nihayet eve fiber internet geldi. Superonline, Karamehmet'in yıllar önce döşediği fiber ağı engellemeler yüzünden anca devreye sokabildi.;1
Bu Turkcell ile  aramız her ne kadar iyi olmasa da böyle hediyeler verdikce gözüme giriyorlar :D;1
hayat paylaşınca güzel :));1
Bir kez daha cüzdanı evde unuttum ama Turkcell mobil imza sayesinde Garanti'den para çekip gunumu sorunsuz götürüyorum :);1
"zekice ;)";1
"""1 yeni film vizyone girerken, gnctrkcll şifresi arayan 3 milyon kişi var."" ahaha";1
hayat paylaşınca güzel:);1
faturalı hatlarda daha esnek avantajların olmasını diler başarılarınızın devamını dilerim hoşçakalın..;1
internet ve telefonda superonline 'a transfer oldum.20 mgpt sınırsız  internet 44 tl telefon vergiler dahil 7,5 kr sabit ücret yok;1
ŞENER ŞEN CEZA OLGUN ŞİMŞEK Binnur Kaya    sana söylüyorum bu firmanın reklamına çıkmayın YAŞASIN;1
bizde biliriz o çileyi zamanında çektik :) yarın gel sizede superonline alalım;1
I Phone / Turkcell Müzik application.. Mutlaka deneyin...;1
:)) 1,5 saat ise süper.. Normalde atatürkden gidiyorum ama turkcell sunexpress kampanyasından yararlandım ucuza geldi baya :)));1
"toplu tasima aracinda ""turkcell bemi sesimden tanır"" cilginliginida yapti ya #pes";1
sahan in oynadığı son Turkcell reklamına cok güldüm bsbdbdhdfnbzhgczzvzvzjddhdjdjzg;1
her yöne sms 12 tl bakınız turkcell :D;1
İphone'un yeni modeli İphone 4S, Turkcell tarafından satışa sunulacak.;1
Hayat paylaşınca güzel. :);1
Divandan dogum gunu pastasi gondermek! Valla sasirdim tesekkurler #turkcell :):);1
Bir adam vardı canı sıkılıyordu. Bir film izledi can sıkıntısı gitti. Eski bir turkcell reklamı :) hey gidi günler;1
""" Turkcell Superonline 1 Milyon Haneye Fiber İnterneti Taşıdı, Sabit Numara Taşımada Lider Oldu.";1
2012de ki sevgililerimi buldum: turkcell (galp) wikipedia (galp) google #finallergeliyorhaci;1
2 Gundur ne TV yayını var ne de internet :( Turkcell mobil internet olmasa ne yapardım acaba :/ ;1
avea dan bana bu ay 250 veya 300 tl fatura gelcek :(( TURKCELL geri dönmeyi düşünüyorum :));1
superonline mesela :) evet onda da soru oldu ama ttnet kadar insanı baymıyor;1
ah Turkcell'm hemende duydu sesimiii:));1
bugün bana yaptığın haksızlığı sana hiç unutturmayacağım..hani 150 her yöne kampanyası..artık yaşasın turkcell.seni terkediyom avea..;1
turkcell var üzülme :);1
superonline tabiki :);1
perşembe de bizim olsun malum #gnctrkcll cuma sabahı hallederiz :);1
#yeniyildanistegim paylaşmayı bilen bir Dünya... çünkü hayat paylaşınca güzel :);1
#turkcellfestival Turkcell'in canlı konser için MODEL seçimi çok başarılı olmuş!!! Şarkı sözleri de sound da çok iyi. Aynen devam MODEL!;1
Sadece aradiigimda musteri hizmetlerine ulasabildigim icin turkcell kullanirim avea ve vodafone. Bosuna kampanya vs yapmayin;1
:D Turkcell ile saygı çerçevesinde ve çok düzeyli bir dostluğumuz var bana yapamazlar öyle bişey :D;1
hayat paylaşınca güzel türkselli.;1
fena degil;1
Canli performansiyla 30 aralik cuma gunu saat 15:00'da Turkcell Muzik'te!;1
Bu arada siz sevgili panpişlerime duyurmayi unuttum vodafone un ayricaliklarla dolu dunyasindan turkcell in indirimlerle dolu dunyasina;1
"IDATE raporundan ""Turkcell Superonline 2011'de sunmaya başladığı 1000Mbs hızında fiber internetle Avrupa'da sayılı operatör arasına girdi""";1
"neye uyuz olduysam reklamlarına hayran oldum; cocacola, zaman, turkcell.. reklamcılık harikaları.. :)";1
Kalp kalbe karşı, şimdi Superonline'ı aradım. Hizmet ve fiyat en iyi oradaymış.;1
sağlık olsun, büyüyünce bende Turkcell note kullanırım...;1
"tabiiki turkcell yurtdisi paketi aldim ;)";1
#hayatpaylasincaguzel Turkcell yine başarılı bir iş yapıyo, yazdıklarımız Sapphire Çarşı'nın önündeki ekranda çıkıyor :));1
1 sn de nobetci eczaneleri bulup 1 km yakındaki eczaneyi 1 saat aramaya gerek bırakmayan Turkcell pusula uygulaması seviyoruz seni;1
o zaman neymiş, hayat paylaşınca güzel lallalalllala, paylaşıp çoğalınca güzel lalalallalalala.;1
"Superonline geç ;) Alt yapı varsa sizin oralarda bence fiber internet al, internet neymiş görüceksin ;)";1
Nihayet temiz ve akıcı bir canlı yayın izleyebiliyoruz. Tebrikler...;1
#turkcellmuzik Yaşasın maNga yaşasın Turkcell «§©µ» :);1
O değil de yeniden para yüklemeden Genç Avantaja mı geçsem? Ama Turkcell kalitesi... Ama internet... Of aman ya!;1
444'lü numaraları aramanın en ucuz yolu  THY ile 21.5 dakikalık konuşma sadece 40 kuruş tutmuş :);1
iPhone 4S Turkcell'le Türkiye'de;1
#BirazYiyecek biraz değil tam hazırlayın, temiz kaplarda yenebilecek şekilde su da hazırlayın,ölmezsiniz korkmayın,hayat paylaşınca güzel.;1
ya geçip taksitle bir iphone 4S alayım dedim, ilk 12 taksiti tek çekimde peşin istediler. 1400TL peşin vereceksem Turkcell'de kalırım;1
İki biranın verdiği hal ne güzel. Sarhoş gibi değil ama bi adam sen decilik bi boşvermişlik bi hayat paylaşınca güzelcilik. Evet.;1
Turkcell'in premium musterisi olmamama ragmen cihaz temini icin gostermis oldugunuz ozel ilgiden dolayi cok tesekkur ederim.;1
#PazarlamaKonferansi Turkcell Akademi'ye cok tesekkurler!;1
oha amk turkcell bana 2 gündürr bedava konusma hakkı gonderiyo yaklaşık 3 saatlk bedava.;1
Sahan Gokbakarin oynadigi yeni Turkcell reklami baya iyi. Very sweet you, very beautiful;1
RE:  Türkcell Vınn Çeker Hacılar .. :);1
Sabah vapurlarında ücretsiz dağıtılan gazeteleri okuyanlar, 1 milyon kişiye ulaştı. Hayat okuduğunu paylaşınca güzel :);1
ptesi gelsin de bi gnctrkcll yapayım o zaman:));1
Divane Aşık Gibi: Türkcell Blog Ödülleri'nde Finaldeyiz;1
"""Hayat Paylaşınca Güzel""";1
Doğum günüm için hediyelerim Turkcell'den Divan'dan pasta,Dominos'tan pizzaya indirim.Beni özel hissettiren başkaları olmalıydı sanki:);1
turkcell can faturali canan:):);1
Sahanin Turkcell reklamlari gercekten cok komik.;1
superonline cok iyi hele ttnetten sonra baya iyi 3 aydir sorunsuz kullaniorm hic skntı cikarmadi;1
yarın geçn türkcell kullan derim gari..;1
İpeğimin Turkcell'e geçmesine en çok ben sevinmişimdir kesinlikle.Aykutdan daha çok hatta :D;1
Turkcell Dört çeker, benim ebrum çok şeker :) ben bu fotoya biterimm;1
onun icin gecicem tekrar turkcell'e az kaldi :-D;1
Bu nasıl bi şarkı ya artık favori şarkım :) Turkcell'e başvurup bu şarkıyı çalarken dinlet yapıcam :);1
Turkcell'le bağlan hayata... Turkcell zengin olmasın da kim olsun be;1
Ole bi insan olacaksin ki tcell gbi kaliteli vodafone gbi her yerde cekmeyen avea gbi her gun yeni musteri kazanan .. GNAYDIN ;1
soz verdigi gibi aradi, gorustuk. Tesekkurler  Umarim en kisa zamanda cozume kavusur sorunumuz;1
hım valla yeni dediğin cuma günü turkcell müzikte saat 15.00 te canlı performansı var başka bişi bilmiyorum:);1
özetle bu akşamımı rezil eden VODAFONE dan artık nefret ediyorum. Turkcell de kazık mazık ama hakkaten kaliteli. donmek gerekiyor;1
turkcell timlerde hizli sarj unitesii var oraya git olum dert ettigin seye bak;1
"Bilmediğim acayip turkcell numarası;şu kontorsuz ve dar zamanlarımda mesajlarınla bana destek olduğun ve yalnız bırakmadığın için teşkürler.";1
"hayat paylaşınca güzel "" TURKCELL :))))";1
dıtdıtdırıtdıtt :D of turkcell reklamı aklıma geldi          :D;1
"""Hayat paylaşınca güzel"" Tabi.";1
TurkcellMüzik biraz daha gelişsin fizy yi tamamen bırakıcam söz.;1
O zaman bi daha sen de öyle davranma, sen ataydın o da iyiydi. Hem turkcell neyine yetmiyo :(;1
yarına gnctrkcll yok..uykum çok pahalıya geliyo zaman..;1
istanbul'dan bolu'ya kadar hiç kopmadan internet keyfini bana yaşatan turkcell 3g'ye sonsuz teşekkürler =).. hizmet budur..;1
yavrum aldım mesajını da turkcell değil misin ki sen? gitmiyo :/;1
Oh bee sonunda telefonumun hatti acildi! Tesekkurler #turkcell, yilbasi ustu telefonsuz kalinmazdi;1
memnun kaldımda şu turkcell kampanyası tekrar olsun yaw  çok pahalı;1
#Superonline müşteri hizmetleri gerçekten hızlı bir şekilde sorunumu çözdü.;1
hayat paylaşınca güzel canım benim :);1
#Türkiye Akbank’ın Axess’i Turkcell Cep-T Cüzdan’da: Akbank ve Turkcell, ödeme sistemleri ile mobil d...  #SonDakika;1
Sana ne kadar teşekkür etsem azdır Turkcell :);1
turkcell.in böle bi kıyak geçeceği aklımın ucundan geçmezdi;1
valla teknoloji çok ilerledi..kaybolduk ama turkcell çekiyor :)) çok ıssız buralar terk edilmiş gibi...;1
#osesturkiye nurullh ya insana huzur veriyor sesin;1
Bu sabah 05:05'te Turkcell'e numaramın taşınması tamamlanıyormuş. Sen halen komikli şakalı reklamlara devam et Avea :);1
İnovasyonda büyük ödül Turkcell'in!;1
Hayat paylaşınca Güzel:);1
2011'de en çok hangi marka reklam verdi?    ilk 3 aynı sektor 1-Turkcell, 2-Vodafone, 3- TurkTelekom;1
Turkcell den aradılar iş görüşmesi için yarın cagırdılar geldiye :) aklımda yoktu ama güzel olur gelebilirim;1
Cıkmadan solıyım dun sms yaptiktan sonra baktiim kiiii bedava 100 dk kazanmısım ve arti heryone 300 SMS. Turkcell sms yapmami bekliyomus.;1
Oha yeni yüklediğim araba yarısını çok sevdim lan ilk defa hemen 10 arabadan 1.lige geçebildim azıcık zor da olsa sağol turkcell!;1
ping 600 ms olurmu? oldu diyelim, müş.hizm.buna normal dermi? yazıklar olsun.. iptal ettireceğim.. Turkcell Superonline a var..;1
hadı hep bırlıkte ıphone 4 e gecelım   bıze sponsor olsun :);1
hayata bağlan turkcelleeeee;1
numaramı turkcell'e mi taşısam acaba;1
ben ttnet kullanıyorum ama bence superonline daha iyi -,-;1
Manga Konseri harikydı.Acun Ilıcalı'ya,Manga'ya ve Turkcell'e teşekkür ediyorum.;1
servis sağlayıcın geçiriyosa android'in suçu ne? ki turkcell'den gayet memnunum ama vodafone'un sınırsız paketleri de var makul;1
Gayet tabii :) Turkcell aylik 7tl ile internet ve bbm kullanimi sagliyor.Butun bb uygulamalarini da o paketle kullanabiliyorsun.;1
keşke bugün Süreyya Ciliv in ödül töreninde bulunma şansım olsaydı;1
Turkcell Yeni yildizini bulmus;1
İnovasyonda büyük ödül Turkcell'in;1
Cok sukur bb'mi kurtardi Turkcell;1
ama sonunda turkcell bayiine götürmeniz daha iyi olur diyorlar. :);1
turkcell hayatımdakı kolaylık ondan :);1
evet, guzel olmus.;1
turkcell internet sitesinde detayli aciklama var ordan bakabilirsin;1
zaten iletişim kalitesi çok kötü. Ben hiç memnun kalmadım Avea dan. Türkcell pahalı hizmet iyi;1
Huzur bereket sukunet;1
#TurklereOzguDavranislar pazartesi persembe turkcell sınema gunu gelsede sınemaya gıtsek dıye beklemek;1
hayat paylaşınca güzel;1
"#turkcellmuzik Konser İçin Çok Teşekkürler ! Turkcell &amp; Manga !";1
kopuyoruz Alperenle :D Teşekkürler Turkcell :D;1
Bu türkcell beni seviyor. Yoksa 13.13ten başka msj atacak zaman mı yok.;1
Hayat paylaşınca güzel lalala lay laay la lay. Bir gün iyi oluyorsun, öteki gün melenkolik ruh halinde.;1
Bi turkcell calisani olarak soylemek istedim Superonline=Turkcell ,hizmet kalitemzden hic suphe yok:)tabiki superonline;1
Off ne yazık ki turkcell müzik sahensindeki konserinize gelemeyeceğim cunku okulum var off.Sizi ÇOOOK seviyoruuuuuum!;1
Kahve dünyası ile yaptığınız kampanya süper hiç bitmesinnn:seviyorum seni turkcell):):);1
aynen :) kos bi turkcell al hemen:);1
2 buçuk aydır tanımayan turkcell beni sesimden tanımış bulunmaktadır!! bunu kutlamalı.;1
avea kullanmaya devam edersen daha çoooook koparsın. TURKCELL le bağlan hayataa :);1
benim dikkatimi turkcell cekti huyumdan sanirim hep zirvedekiler dikkatimi ceker ve  takip ederim:);1
Superonline warken TTnet e laf dusmez bence.. siddetle tawsiye ederim..;1
capstone'u boşverip superonline'a başladım şuan,,ah ahh;1
hayat paylaşınca güzel ebruş :))));1
ya diyorum sana bizim baba gelmicek bu sene bana dedi sen halledersin bana söyle isteklerini hem benim hat turkcell :);1
'e yasattigimiz super musteri deneyimi icin onurlu ve gururluyuz. ( Turkcell Superonline);1
Paylaşma muhabbetinden dolayı Turkcell'in makarasını yaptım ama vapurda gazete rafı olayı çok iyi oldu. Yancılık kurumu hala yaşıyor ama :);1
bize gec turkcell e :)));1
Oyle huzurluyum ki, Turkcell bile ariza cikarmadi bu kez, o derece! :));1
hattin ne? Turkcell I tavsiye ederim degilsen eger ben tr e tasittim direk memnunum :);1
Yatak aldim, yorgan ve yastigi Turkcell verdi :);1
ganga superonline alsın o yea :D;1
Benım bedava sms hakkım var turkcell bana yenı yıl hedıyeesınıı erken yollamıss serefsızzz hahahah;1
#turkcell #ozturkmatik reklami allah belanizi vermesin!! Vapurda deli gibi guldurdun beni...;1
abi gnctrkcll 2 bilet 8tl mi yaptın ? pazartesi sinemaya gittiğine göre :D;1
Hayat paylaşınca güzel Hayatım :));1
evet yeniden pin alacağım sırf bbm için :D turkcell hat alacağım :);1
Beni bir tek dusunen turkcell ahey ahey;1
bitanesinnnnnnnnnnnnnn:D #turkcell;1
5326833306 nolu hattımın ipone4 s kontratlı tekliften yararlanmak istiyorum teşekkürler;1
yeni laptop ile superonline bağlanınca görecem seni :D;1
her zaman heryerden böyle;1
hayat paylaşınca güzel nara naa naa na na turkcel ceo suyum ben :);1
Sadece mutluluk vaadi veren reklamlardan baydim.Bana daha yaratici reklam mesajlariyla gel. Bkz. Eti, Coca-Cola, Turkcell;1
aıle operatorumuz turkcell :D;1
Çok basit bir maile bile dönüş yaparak tüm sorularıma cevap veren Superonline müşteri hizmetlerini kutluyorum. #supersinsuperonline;1
HAYAT PAYLAŞINCA GÜZEL...GERİSİ TEFERRUAT...;1
superonline'a geç hayatını yaşa :P;1
"turkcell sun exspres arasindaki anlasmaya bi goz at hemen fiyatlar yari yariya ;)";1
CocaCola ve Turkcell'in reklamcilarini alinlarindan opmek istiyorum;1
bis paketi hakkında bilgi istiyorum;1
Hayat paylaşınca güzel lalalalalalalalalalaaaaaaaaaaaa :D;1
Karşıyaka da 10 bin daire turkcell superonline ile tanışmaya hazır. son 4 gün.;1
İyi ki Turkcell'in hava durumu paketine aboneyim. O da olmasa kim mesaj atacak bana;1
Bugün turkcell müzik konserlerinde  Manga'yla birlikteyiz saat 15:00 itibariyle Manga sizlerle iyi seyirler  (www.turkcellmuzik.com);1
emme benimki Turkcell olanlar düşünsün:)));1
Cnm turkcell magazalarnda ve diger telefn magazalarnda satılıo :));1
askıım bu ay acıcam bı turkcell e geciyim de;1
beni bekleyen dogumgunu pastam icin cok tesekkurler;1
o değilde ben turkcell reklamında zamanın selocanlarındandım yani ona göre;1
bıde turkcell cekmıo derler dımı sed (:;1
tutturamadim ya. Kahretsin. Turkcell daha iyi tabii :D;1
Can sıkıntısından ölmek üzereyim. Turkcell-im mi ne varya onun gibi birşey gelsede kurtulsam...;1
maNga Turkcell muzik.com'da saat 15:00'te.;1
#bukutudanevar bu  nin en sağlam reklamı oldu   #turkcell;1
"Sayın Süreyya Ciliv'in teşekkür konuşmasındaki mesajı netti; 'Siz değerli öğrenciler içinizdeki potansiyeli keşfedin ve kendinize güvenin!'";1
Çekmiyormuş diyerek çekmediğini dedikodusunu tasdik eden Vodafone, kalitelisi pahalıymış diyerek bu kez de Turkcell'e kaliteli dedi sanki?;1
he valla gectim. Niye ki lan? Turkcell iyi ya, avea apaci isi artik;1
"ne demiş turkcell ;) hayat paylaşınca güzel ;)";1
çekmeyenin reklamını Turkcell'i çekemeyenler yapsın :);1
ben turkcell e taşıttım;1
iphone 4 S Kanyon Turkcell de var ilgilenenlere duyurulur ..Cok kalabalik tukenmeden alin derim ..;1
Kalite ortada #turkcellfestival;1
hayat kesinlikle paylaşınca güzel :);1
Medyaplus - Turkcell Superonline'dan 1 milyon eve fiber internet;1
#pazarlamakonferansi ndayiz bu sabah. Turkcell Charlene Li'yi getirmiş.;1
Tesekkurler Turkcell;1
Merhaba, Turkcell İletişim Merkezlerimizde cihaz satışlarımız bulunmaktadır. Teşekkür ederiz.;1
önemli değil cnm..ne demişler hayat paylaşınca güzel:))yazımında kendi çapında bir karakteristiği yok değil:)))teşekkürler:P;1
Bizim blog Turkcell Blog ödülleri spor dalında ilk10a girmiş, Kazananlar 5 Ocak Perşembe Point Otel'de yapılacak törende açıklanacakmış.;1
Turkcell cephesinden hiç beklemiyordum böyle bir telefonu, öneri için çok sağolasın!;1
"iş dönüşü nimbuzz la bağlan hayata ;-)";1
KADİRLE BAĞLAN HAYATA  :=));1
"""TESEKKURLER""   ;)";1
bu şarkıya bayıldım  o_o cok yakında turkcell inde yeni yıl jingle cıkar  o-0;1
En yeni en iyi iPhone 4S interneti ile birlikte 99 TL'den başlayan tekliflerle Turkcell farkıyla....;1
superonline :);1
bugün kesilen internet kendi kendine yeniden açıldı  süperonline yaptığı hatayı kendi kendine anladı :D;1
turkcell her zaman cevap verir bizlerin yanında olur :)) turkcell candır :));1
""" konseri,bugünSaat15:00'tecanlı yayınla Hayat müziği paylaşınca güzel :)";1
turkcell beni sesimden tanir.;1
